,precision,recall,f1-score,support
airplane,0.9050160085378869,0.848,0.8755807950438823,1000.0
automobile,0.9156398104265403,0.966,0.9401459854014599,1000.0
bird,0.8503688092729189,0.807,0.8281169830682401,1000.0
cat,0.8521850899742931,0.663,0.7457817772778402,1000.0
deer,0.8632567849686847,0.827,0.8447395301327886,1000.0
dog,0.8577777777777778,0.772,0.8126315789473684,1000.0
frog,0.7348484848484849,0.97,0.8362068965517241,1000.0
horse,0.9137055837563451,0.9,0.906801007556675,1000.0
ship,0.9135082604470359,0.94,0.9265648102513554,1000.0
truck,0.8613406795224977,0.938,0.8980373384394447,1000.0
accuracy,0.8631,0.8631,0.8631,0.8631
macro avg,0.8667647289532464,0.8631,0.8614606702670778,10000.0
weighted avg,0.8667647289532466,0.8631,0.8614606702670778,10000.0
