True_Class,Predicted_Class,Count
airplane,airplane,848
airplane,automobile,15
airplane,bird,32
airplane,cat,4
airplane,deer,5
airplane,dog,0
airplane,frog,9
airplane,horse,1
airplane,ship,56
airplane,truck,30
automobile,airplane,2
automobile,automobile,966
automobile,bird,0
automobile,cat,0
automobile,deer,0
automobile,dog,0
automobile,frog,3
automobile,horse,0
automobile,ship,1
automobile,truck,28
bird,airplane,27
bird,automobile,2
bird,bird,807
bird,cat,15
bird,deer,28
bird,dog,19
bird,frog,77
bird,horse,9
bird,ship,5
bird,truck,11
cat,airplane,11
cat,automobile,8
cat,bird,37
cat,cat,663
cat,deer,39
cat,dog,88
cat,frog,101
cat,horse,17
cat,ship,10
cat,truck,26
deer,airplane,7
deer,automobile,2
deer,bird,37
deer,cat,7
deer,deer,827
deer,dog,4
deer,frog,84
deer,horse,24
deer,ship,4
deer,truck,4
dog,airplane,6
dog,automobile,4
dog,bird,17
dog,cat,72
dog,deer,30
dog,dog,772
dog,frog,51
dog,horse,31
dog,ship,1
dog,truck,16
frog,airplane,3
frog,automobile,3
frog,bird,7
frog,cat,9
frog,deer,2
frog,dog,0
frog,frog,970
frog,horse,2
frog,ship,2
frog,truck,2
horse,airplane,9
horse,automobile,2
horse,bird,9
horse,cat,7
horse,deer,27
horse,dog,16
horse,frog,17
horse,horse,900
horse,ship,3
horse,truck,10
ship,airplane,18
ship,automobile,9
ship,bird,2
ship,cat,0
ship,deer,0
ship,dog,0
ship,frog,6
ship,horse,1
ship,ship,940
ship,truck,24
truck,airplane,6
truck,automobile,44
truck,bird,1
truck,cat,1
truck,deer,0
truck,dog,1
truck,frog,2
truck,horse,0
truck,ship,7
truck,truck,938
